,Term Status,Class Section,Class Title,Instructor,Day,Start_Time,End_Time,Location
3195,22SFull,MECH 2310.001,Statics,Alexander Murphy ,Tuesday,13:00:00,14:15:00,ECSW 1.365
3196,22SFull,MECH 2310.001,Statics,Alexander Murphy ,Thursday,13:00:00,14:15:00,ECSW 1.365
3197,22SOpen,MECH 2320.001,Mechanics of Materials,James Wilt ,Monday,14:30:00,15:45:00,ECSW 1.365
3198,22SOpen,MECH 2320.001,Mechanics of Materials,James Wilt ,Wednesday,14:30:00,15:45:00,ECSW 1.365
3199,22SOpen,MECH 2320.002,Mechanics of Materials,III Ryu ,Monday,16:00:00,17:15:00,ECSW 3.250
3200,22SOpen,MECH 2320.002,Mechanics of Materials,III Ryu ,Wednesday,16:00:00,17:15:00,ECSW 3.250
3201,22SOpen,MECH 2320.003,Mechanics of Materials,James Wilt ,Monday,08:30:00,09:45:00,ECSW 1.355
3202,22SOpen,MECH 2320.003,Mechanics of Materials,James Wilt ,Wednesday,08:30:00,09:45:00,ECSW 1.355
3203,22SOpen,MECH 2330.001,Dynamics,P.L.Stephan Thamban ,Tuesday,11:30:00,12:45:00,ECSW 3.250
3204,22SOpen,MECH 2330.001,Dynamics,P.L.Stephan Thamban ,Thursday,11:30:00,12:45:00,ECSW 3.250
3205,22SOpen,MECH 2330.002,Dynamics,P.L.Stephan Thamban ,Tuesday,08:30:00,09:45:00,ECSW 1.365
3206,22SOpen,MECH 2330.002,Dynamics,P.L.Stephan Thamban ,Thursday,08:30:00,09:45:00,ECSW 1.365
3207,22SOpen,MECH 3105.101,Computer Aided Design Laboratory,Sepehr Sadeh ,Monday,10:00:00,12:45:00,ECSW 3.335
3208,22SOpen,MECH 3105.102,Computer Aided Design Laboratory,Sepehr Sadeh ,Monday,13:00:00,15:45:00,ECSW 3.335
3209,22SFull,MECH 3105.103,Computer Aided Design Laboratory,Sepehr Sadeh ,Monday,16:00:00,18:45:00,ECSW 3.335
3210,22SFull,MECH 3115.101,Fluid Mechanics Laboratory,Yaqing Jin ,Friday,13:00:00,15:45:00,ECSW 2.315
3211,22SFull,MECH 3115.102,Fluid Mechanics Laboratory,Yaqing Jin ,Wednesday,10:00:00,12:45:00,ECSW 2.315
3212,22SFull,MECH 3115.103,Fluid Mechanics Laboratory,Yaqing Jin ,Tuesday,10:00:00,12:45:00,ECSW 2.315
3213,22SFull,MECH 3115.104,Fluid Mechanics Laboratory,Yaqing Jin ,Thursday,10:00:00,12:45:00,ECSW 2.315
3214,22SFull,MECH 3115.105,Fluid Mechanics Laboratory,Yaqing Jin ,Friday,10:00:00,12:45:00,ECSW 2.315
3215,22SFull,MECH 3115.106,Fluid Mechanics Laboratory,Yaqing Jin ,Thursday,13:00:00,15:45:00,ECSW 2.315
3216,22SFull,MECH 3150.101,Kinematics and Dynamics Laboratory,Wooram Park ,Friday,10:00:00,12:45:00,ECSW 3.335
3217,22SOpen,MECH 3150.102,Kinematics and Dynamics Laboratory,Wooram Park ,Wednesday,10:00:00,12:45:00,ECSW 3.335
3218,22SFull,MECH 3150.103,Kinematics and Dynamics Laboratory,Wooram Park ,Friday,13:00:00,15:45:00,ECSW 3.335
